,marketPair,minPrice,minExchangeName,maxPrice,maxExchangeName
0,ADA/BTC,51457.789382071365,Binance,51457.789382071365,Binance
1,ALT/BTC,51476.71108850458,Binance,51476.71108850458,Binance
2,AVAX/BTC,51457.789535853255,Binance,51457.789535853255,Binance
3,BCH/BTC,51457.7895317131,BitForex,51457.81365654413,IndoEx
4,BNB/BTC,51457.789530410184,Binance,51457.789530609356,Bitrue
5,BTC/AUD,51420.55897702,BTSE,51420.55897702,BTSE
6,BTC/BNB,51508.16273451,IndoEx,51508.16273451,IndoEx
7,BTC/BRL,51911.18673552,Mercado Bitcoin,51962.41959376,Binance
8,BTC/CAD,51447.49861197,BTSE,51447.49861197,BTSE
9,BTC/EUR,51416.37737258,WhiteBIT,51538.37361099,IndoEx
10,BTC/FDUSD,51453.58275588,Binance,51453.58275588,Binance
11,BTC/GBP,51439.23209084,BTSE,51484.35677621,Coinbase Exchange
12,BTC/HKD,51455.06135404,BTSE,51455.06135404,BTSE
13,BTC/JPY,51589.88657372,bitFlyer,51685.7775779,Bitbank
14,BTC/KRW,53668.30797832,Bithumb,53837.38294329,Upbit
15,BTC/MXN,51474.31350694,Bitso,51474.31350694,Bitso
16,BTC/PYUSD,51376.15561509,Bullish,51376.15561509,Bullish
17,BTC/RUB,51317.88736205,Cryptonex,51317.88736205,Cryptonex
18,BTC/RUNE,51393.22886472,THORChain,51393.22886472,THORChain
19,BTC/SGD,51445.50481419,BTSE,51445.50481419,BTSE
20,BTC/THB,51582.90008226,Bitkub,51582.90008226,Bitkub
21,BTC/TRY,52039.61716957,Bitexen,52183.65784894,BtcTurk | Kripto
22,BTC/TUSD,51475.46228409,Binance,51475.46228409,Binance
23,BTC/TWD,51750.45272284,BitoPro,51833.78473754,MAX Exchange
24,BTC/UAH,57860.32076655,EXMO,57860.32076655,EXMO
25,BTC/USD,51412.99397943,IndoEx,52184.34,EXMO
26,BTC/USDC,51435.12791245,BTSE,51603.57403383,Coinsbit
27,BTC/USDT,51446.7248999,Binance.US,51658.61048906,BitHash
28,BTC/XRP,51494.23104014,IndoEx,51494.23104014,IndoEx
29,BTC/ZAR,52334.35487297,VALR,52334.35487297,VALR
30,CFT/BTC,51457.7895758517,P2B,51457.7895758517,P2B
31,DASH/BTC,51457.78952839669,YoBit,51457.78953723763,BitForex
32,ENS/BTC,51457.78952625247,Upbit,51457.78952625247,Upbit
33,EOS/BTC,51457.789509078684,BitForex,51457.789509078684,BitForex
34,ETH/BTC,51457.78538456098,IndoEx,51457.78953108781,Mercatox
35,ETH/XBT,51457.789530985916,Kraken,51457.789530985916,Kraken
36,FET/BTC,51457.78941961993,Binance,51457.78941961993,Binance
37,FIL/BTC,51457.78949964764,Binance,51457.789506953224,Upbit
38,GLM/BTC,51457.78997289973,Binance,51457.78997289973,Binance
39,LINK/BTC,51457.78953038674,Binance,51457.78953038674,Binance
40,LTC/BTC,51457.789530765825,Mercatox,51457.78953418483,Binance
41,MATIC/BTC,51457.78955780501,Binance,51457.78955780501,Binance
42,OP/BTC,51457.78948094975,Binance,51457.78948094975,Binance
43,PIXEL/BTC,51476.71142284569,Binance,51476.71142284569,Binance
44,RLC/BTC,51457.78955759267,Upbit,51457.78955759267,Upbit
45,RNDR/BTC,51457.78952618454,Binance,51457.78952618454,Binance
46,SEI/BTC,51457.7897223863,Binance,51457.7897223863,Binance
47,SOL/BTC,51457.78953258071,OKX,51457.789532812036,Binance
48,STRK/BTC,51476.71097657278,Binance,51476.71097657278,Binance
49,TUSD/BTC,51450.03116745906,IndoEx,51450.03116745906,IndoEx
50,WBTC/BTC,51457.78953101031,Binance,51457.78953101031,Binance
51,WLD/BTC,51457.78953330313,Binance,51457.78953330313,Binance
52,XBT/EUR,51462.69320295,Kraken,51462.69320295,Kraken
53,XBT/GBP,51472.53268058,Kraken,51472.53268058,Kraken
54,XBT/USD,51500.0,Kraken,51500.0,Kraken
55,XBT/USDC,51445.07844988,Kraken,51445.07844988,Kraken
56,XBT/USDT,51462.84228239,Kraken,51462.84228239,Kraken
57,XBT/ZAR,52369.36760449,Luno,52369.36760449,Luno
58,XMR/BTC,52180.56285526891,Binance,52180.56285526891,Binance
59,XRP/BTC,51457.78942398489,Cat.Ex,51457.78982092366,BitForex
60,ZEC/BTC,51457.78953549334,YoBit,51457.78953549334,YoBit
